date;opening;max;min;close;nominalCount
2014-07-17 16:59:59;2,32;2,35;2,29;2,29;193.795,00;
2014-07-16 16:59:57;2,34;2,40;2,28;2,40;719.483,00;
2014-07-15 16:55:51;2,36;2,38;2,32;2,35;511.673,00;
2014-07-14 16:53:37;2,48;2,48;2,38;2,41;317.310,00;
2014-07-11 16:56:55;2,43;2,49;2,38;2,45;1.366.591,00;
2014-07-10 16:59:52;2,36;2,49;2,36;2,44;1.616.152,00;
2014-07-08 16:59:27;2,30;2,35;2,27;2,35;1.171.146,00;
2014-07-07 16:35:31;2,28;2,30;2,23;2,28;132.802,00;
2014-07-04 16:55:05;2,23;2,28;2,20;2,28;561.796,00;
2014-07-03 16:59:08;2,35;2,36;2,27;2,29;709.161,00;
2014-07-02 16:59:44;2,29;2,34;2,28;2,34;1.037.445,00;
2014-07-01 17:00:03;2,25;2,31;2,25;2,28;1.224.890,00;
2014-06-30 16:56:05;2,15;2,20;2,14;2,19;333.642,00;
2014-06-27 16:58:07;2,09;2,17;2,02;2,15;699.027,00;
2014-06-26 16:59:42;2,15;2,20;2,05;2,12;1.047.920,00;
2014-06-25 16:57:01;2,15;2,17;2,13;2,15;403.284,00;
2014-06-24 16:57:23;2,24;2,25;2,10;2,11;932.803,00;
2014-06-23 16:59:29;2,15;2,18;2,10;2,18;2.273.927,00;
2014-06-19 17:00:17;1,95;2,00;1,93;1,96;1.316.817,00;
2014-06-18 16:56:05;1,93;2,13;1,83;2,09;1.381.059,00;
2014-06-17 16:59:15;1,90;2,05;1,77;1,97;2.689.820,00;
2014-06-16 16:59:59;2,12;2,15;1,91;1,94;1.642.432,00;
2014-06-13 16:57:00;2,30;2,34;2,28;2,31;565.949,00;
2014-06-12 17:00:00;2,36;2,37;2,32;2,32;466.215,00;
2014-06-11 16:56:40;2,28;2,36;2,27;2,32;566.700,00;
2014-06-10 17:00:03;2,44;2,46;2,25;2,27;1.655.179,00;
2014-06-09 16:59:07;2,29;2,41;2,29;2,40;1.213.519,00;
2014-06-06 16:56:33;2,26;2,28;2,25;2,27;478.026,00;
2014-06-05 16:49:45;2,22;2,27;2,22;2,25;817.787,00;
2014-06-04 17:00:45;2,28;2,28;2,20;2,22;833.051,00;
2014-06-03 16:58:25;2,30;2,32;2,28;2,28;804.228,00;
2014-06-02 16:57:04;2,38;2,38;2,28;2,32;490.423,00;
2014-05-30 17:00:09;2,36;2,39;2,20;2,38;1.165.237,00;
2014-05-29 16:59:46;2,40;2,44;2,32;2,35;1.418.358,00;
2014-05-28 16:59:01;2,22;2,38;2,22;2,36;1.408.635,00;
